Date,High,Low,Mid,Last,Bid,Ask,Volume
2016-01-01,436.49,426.26,433.91,433.78,433.83,433.99,12922.08019924
2016-01-02,435.8,430.0,433.33,433.2,433.2,433.46,6658.09219431
2016-01-03,433.79,421.73,427.905,427.98,427.76,428.05,18644.76005636
2016-01-04,435.67,426.2,434.475,434.49,434.47,434.48,13092.85066577
2016-01-05,434.91,427.91,432.09,431.82,431.96,432.22,11532.9848905
2016-01-06,432.24,425.03,430.995,430.99,430.99,431.0,8173.83921841
2016-01-07,459.0,427.03,457.23,457.25,457.21,457.25,52167.52070475
2016-01-08,465.0,446.55,454.64,454.9,454.35,454.93,34575.90116782
2016-01-09,456.01,447.07,451.055,451.2,451.0,451.11,8520.76070535
2016-01-10,451.51,441.01,447.335,447.34,447.33,447.34,13581.04999545
2016-01-11,452.49,443.42,448.935,448.94,448.93,448.94,15293.4505244
2016-01-12,450.05,444.31,446.385,446.38,446.38,446.39,11627.99693832
2016-01-13,446.75,416.0,431.72,431.53,431.6,431.84,42269.39393371
2016-01-14,435.0,426.0,429.83,429.76,429.69,429.97,13290.04387368
2016-01-15,429.43,357.02,359.575,359.16,359.16,359.99,123890.27071977
2016-01-16,392.5,352.5,388.41,388.4,388.4,388.42,74062.16019306
2016-01-17,393.31,378.76,382.065,382.0,382.0,382.13,20716.65696331
2016-01-18,390.0,375.01,387.055,387.04,387.01,387.1,19468.02258112
2016-01-19,388.61,377.41,378.87,378.96,378.79,378.95,17188.59693882
2016-01-20,428.0,375.01,419.595,419.7,419.51,419.68,82801.90942887
2016-01-21,424.57,405.0,411.005,411.01,411.0,411.01,29021.2464756
2016-01-22,411.2,371.25,381.01,381.01,380.96,381.06,62225.91956269
2016-01-23,394.81,379.85,385.555,385.57,385.55,385.56,21470.91850297
2016-01-24,407.33,385.1,402.78,402.77,402.76,402.8,23219.92783728
2016-01-25,402.77,384.0,390.94,390.96,390.91,390.97,22664.63967213
2016-01-26,396.99,387.0,393.71,393.78,393.63,393.79,10140.81467165
2016-01-27,396.99,389.66,394.81,394.97,394.66,394.96,8538.43203569
2016-01-28,395.48,375.01,378.185,378.39,378.14,378.23,25024.08113809
2016-01-29,386.0,360.03,377.71,377.6,377.6,377.82,62204.81102909
2016-01-30,380.6,374.0,376.705,376.56,376.56,376.85,10501.94797823
2016-01-31,378.9,362.57,365.91,365.52,365.58,366.24,14887.77869027
2016-02-01,379.27,363.23,371.18,371.42,370.93,371.43,24795.4227231
2016-02-02,374.8,369.69,372.95,372.9,372.9,373.0,10443.46213856
2016-02-03,374.0,365.65,368.865,368.98,368.74,368.99,13195.15019685
2016-02-04,393.89,368.65,389.84,389.96,389.8,389.88,37339.9192622
2016-02-05,393.0,384.19,386.615,386.54,386.54,386.69,16879.23586874
2016-02-06,386.54,365.0,373.73,373.75,373.71,373.75,40202.13384674
2016-02-07,377.8,369.17,371.975,372.01,371.85,372.1,13056.06239366
2016-02-08,377.0,369.01,370.37,370.49,370.31,370.43,16881.20552174
2016-02-09,377.96,370.04,373.965,373.97,373.96,373.97,9079.98800077
2016-02-10,387.0,373.13,381.05,380.9,380.93,381.17,33668.70675664
2016-02-11,383.23,372.25,377.995,377.99,377.99,378.0,14521.32801979
2016-02-12,383.53,377.04,382.885,382.94,382.83,382.94,10146.83584537
2016-02-13,393.0,382.55,392.995,392.99,392.99,393.0,14754.53765591
2016-02-14,408.66,392.93,408.305,408.3,408.3,408.31,29423.6760944
2016-02-15,412.5,395.23,400.09,399.9,400.06,400.12,30129.68519329
2016-02-16,408.77,398.66,407.225,407.27,407.08,407.37,13991.05677741
2016-02-17,421.9,405.16,414.885,414.88,414.88,414.89,30400.76489361
2016-02-18,426.21,412.51,421.505,421.5,421.5,421.51,25228.63442938
